"prov","ym","N","rate","treated","cap_2019","cap_2023","cap_change_ratio"
12,"2024-07",185,0.789189189189189,1,12951,13037,0.00664041386765501
12,"2024-08",170,0.811764705882353,1,12951,13037,0.00664041386765501
12,"2024-09",172,0.808139534883721,1,12951,13037,0.00664041386765501
12,"2024-10",173,0.76878612716763,1,12951,13037,0.00664041386765501
12,"2024-11",171,0.812865497076023,1,12951,13037,0.00664041386765501
12,"2024-12",170,0.794117647058824,1,12951,13037,0.00664041386765501
12,"2025-01",348,0.810344827586207,1,12951,13037,0.00664041386765501
12,"2025-03",188,0.792553191489362,1,12951,13037,0.00664041386765501
12,"2025-04",197,0.807106598984772,1,12951,13037,0.00664041386765501
12,"2025-05",203,0.807881773399015,1,12951,13037,0.00664041386765501
12,"2025-06",207,0.816425120772947,1,12951,13037,0.00664041386765501
12,"2025-07",195,0.78974358974359,1,12951,13037,0.00664041386765501
13,"2019-01",222,0.833333333333333,1,14024,14026,0.000142612664004564
13,"2019-02",198,0.797979797979798,1,14024,14026,0.000142612664004564
13,"2019-03",197,0.776649746192894,1,14024,14026,0.000142612664004564
13,"2019-04",196,0.811224489795918,1,14024,14026,0.000142612664004564
13,"2019-05",195,0.820512820512821,1,14024,14026,0.000142612664004564
13,"2019-06",183,0.830601092896175,1,14024,14026,0.000142612664004564
13,"2019-07",178,0.786516853932584,1,14024,14026,0.000142612664004564
13,"2019-08",195,0.846153846153846,1,14024,14026,0.000142612664004564
13,"2019-09",202,0.856435643564357,1,14024,14026,0.000142612664004564
13,"2019-10",210,0.838095238095238,1,14024,14026,0.000142612664004564
13,"2019-11",196,0.801020408163265,1,14024,14026,0.000142612664004564
13,"2019-12",194,0.798969072164949,1,14024,14026,0.000142612664004564
13,"2020-01",195,0.815384615384615,1,14024,14026,0.000142612664004564
13,"2020-02",181,0.812154696132597,1,14024,14026,0.000142612664004564
13,"2020-03",165,0.757575757575757,1,14024,14026,0.000142612664004564
13,"2020-04",161,0.732919254658385,1,14024,14026,0.000142612664004564
13,"2020-05",159,0.767295597484277,1,14024,14026,0.000142612664004564
13,"2020-06",154,0.857142857142857,1,14024,14026,0.000142612664004564
13,"2020-07",148,0.837837837837838,1,14024,14026,0.000142612664004564
13,"2020-08",149,0.852348993288591,1,14024,14026,0.000142612664004564
13,"2020-09",156,0.858974358974359,1,14024,14026,0.000142612664004564
13,"2020-10",146,0.794520547945205,1,14024,14026,0.000142612664004564
13,"2020-11",154,0.837662337662338,1,14024,14026,0.000142612664004564
13,"2020-12",154,0.798701298701299,1,14024,14026,0.000142612664004564
13,"2021-01",157,0.789808917197452,1,14024,14026,0.000142612664004564
13,"2021-02",170,0.764705882352941,1,14024,14026,0.000142612664004564
13,"2021-03",174,0.78735632183908,1,14024,14026,0.000142612664004564
13,"2021-04",184,0.815217391304348,1,14024,14026,0.000142612664004564
13,"2021-05",177,0.864406779661017,1,14024,14026,0.000142612664004564
13,"2021-06",165,0.884848484848485,1,14024,14026,0.000142612664004564
13,"2021-07",152,0.894736842105263,1,14024,14026,0.000142612664004564
