rel_time_num,estimate,se,p_value,conf.low,conf.high
-10,0.0067005216863603115,0.00985460768258843,0.4965437547321915,-0.012614509371513009,0.02601555274423363
-9,7.729714741711829e-4,0.010051955896892619,0.938704991750003,-0.01892886208373835,0.020474805032080715
-8,0.0014495614003199246,0.006331906811207119,0.8189235717381875,-0.010960975949646028,0.013860098750285878
-7,-0.0024323347974663017,0.017712728596557235,0.8907768403088172,-0.03714928284671848,0.032284613251785874
-6,-0.007568665520438662,0.011711243255024038,0.5181022824577551,-0.030522702300285778,0.015385371259408451
-5,0.009216969347469257,0.0053071581307649095,0.08243921196875163,-0.0011850605888299656,0.01961899928376848
-4,-0.003807864683016154,0.012867258187193566,0.7672801587681175,-0.029027690729915543,0.021411961363883233
-3,-0.01113816594083638,0.015074178478907662,0.4599735451371932,-0.04068355575949539,0.018407223877822638
-2,-0.014654854309871752,0.008663803738213367,0.09074068069705123,-0.031635909636769946,0.002326201017026446
-1,-5.015895342753087e-4,0.01087237526580636,0.9632031994422376,-0.021811445055255774,0.020808265986705158
0,0.008383632340402944,0.01791887555603652,0.6398804305355018,-0.026737363749428637,0.043504628430234525
1,0.005599183120354047,0.016122145674818063,0.7283677247187688,-0.026000222402289358,0.03719858864299745
2,0.005300384325798182,0.011527399162689606,0.6456544158633097,-0.017293318033073445,0.02789408668466981
3,0.01282661115674506,0.02001262394619132,0.5215707579215478,-0.026398131777789925,0.05205135409128005
4,0.015377703731499048,0.016216961165304078,0.3430031303423675,-0.016407540152496944,0.04716294761549504
5,0.013629401312880231,0.025368538345903226,0.5910907428959546,-0.03609293384509009,0.06335173647085056
6,0.01759729192457034,0.017320747014177042,0.3096455263597472,-0.01635137222321666,0.051545956072357346
7,0.02727758668795237,0.022184236818727204,0.2188494785716749,-0.016203517476752947,0.0707586908526577
8,0.025175051163679737,0.030363064322005494,0.40702854563560603,-0.034336554907451036,0.0846866572348105
9,0.04289695726330691,0.020634740783414623,0.0376292397808415,0.0024528653278142465,0.08334104919879957
10,0.02612299109613053,0.016586504224836117,0.11526692472091028,-0.006386557184548263,0.05863253937680932
11,0.018476255538864516,0.00950294007695193,0.05186322713250019,-1.495070119612689e-4,0.0371020180896903
12,0.00335486148662569,0.04400293892010409,0.9392267600730009,-0.08289089879677833,0.0896006217700297
13,0.0031227854619561585,0.02141486570040891,0.8840609158214701,-0.038850351310845306,0.04509592223475762
14,0.0035935647814047305,NA,NA,NA,NA
15,0.019588489903921355,NA,NA,NA,NA
